,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual,SalePrice
198,1950,1912,8,1,929,755,0,0,2229,6,104000
199,2005,2004,7,2,1713,1713,856,3,1713,8,274900
200,2004,2003,5,2,1121,1121,440,2,1121,4,140000
201,1977,1977,6,2,1279,1196,473,2,1279,6,171500
202,1950,1924,6,2,865,617,398,1,1310,6,112000
203,2004,2004,3,1,848,848,420,2,848,6,149000
204,1950,1947,5,1,720,720,240,1,1284,5,110000
205,1990,1990,5,2,1442,1424,500,2,1442,7,180500
206,1962,1962,8,1,1696,1140,349,1,1696,5,143900
207,1960,1960,6,1,1100,1100,312,1,1100,4,141000
208,1989,1988,7,2,1180,1157,454,2,2062,7,277000
209,1964,1964,6,1,1092,1092,504,2,1092,6,145000
210,1950,1925,5,1,864,864,0,0,864,5,98000
211,2009,2009,6,2,1212,1212,460,2,1212,6,186000
212,2009,2009,7,2,932,900,644,2,1852,7,252678
213,1995,1995,5,1,990,990,576,2,990,5,156000
214,1977,1977,6,1,689,689,299,1,1392,6,161750
215,1996,1957,6,1,1236,1070,447,1,1236,5,134450
216,2004,2004,8,2,1436,1436,484,2,1436,7,210000
217,1950,1925,8,1,810,686,210,1,1328,4,107000
218,2006,1939,8,1,1137,798,431,2,1954,7,311500
219,2006,2005,5,2,1248,1248,438,2,1248,7,167240
220,2006,2006,5,2,1498,1498,675,2,1498,7,204900
221,2002,2002,8,2,1010,1010,390,2,2267,6,200000
222,1975,1975,6,2,811,713,434,2,1552,6,179900
223,1971,1971,4,1,864,864,576,2,864,4,97000
224,2003,2003,8,2,2392,2392,968,3,2392,10,386250
225,1971,1971,6,2,630,630,280,1,1302,5,112000
226,1995,1995,9,2,1214,1203,721,3,2520,7,290000
227,1970,1970,5,1,483,483,280,1,987,6,106000
228,1967,1967,5,1,912,912,336,1,912,5,125000
229,2006,2005,7,2,1555,1373,430,2,1555,7,192500
230,1959,1959,6,1,1194,1194,312,1,1194,6,148000
231,1996,1995,9,2,1490,1462,810,3,2794,8,403000
232,1972,1972,5,1,483,483,288,1,987,6,94500
233,1976,1976,5,1,894,894,308,1,894,5,128200
234,2002,2002,8,2,860,860,440,2,1960,6,216500
235,1971,1971,5,1,483,483,264,1,987,6,89500
236,2004,2004,6,2,1414,1414,494,2,1414,7,185500
237,2003,1993,7,2,1014,996,457,2,1744,7,194500
238,2007,2007,7,2,1694,1694,818,3,1694,8,318000
239,1950,1945,7,1,798,735,220,1,1487,6,113000
240,2008,2008,7,2,1566,1566,750,2,1566,8,262500
241,1997,1945,4,1,866,686,0,0,866,5,110500
242,1950,1900,6,1,889,540,352,1,1440,5,79000
243,1980,1980,6,1,626,626,288,1,1217,6,120000
244,2002,1994,8,2,1222,948,463,2,2110,7,205000
245,1988,1988,6,2,1872,1845,604,2,1872,7,241500
246,1950,1910,9,2,908,1020,440,1,1928,6,137000
247,1954,1954,5,1,1375,1367,451,2,1375,6,140000
248,2003,2003,8,2,840,840,500,2,1668,7,180000
249,2006,1958,7,2,1444,1444,389,2,2144,6,277000
250,1966,1940,6,1,1306,728,0,0,1306,3,76500
251,2007,2006,5,2,1625,1573,538,2,1625,8,235000
252,2004,2004,6,2,798,798,520,2,1640,6,173000
253,1991,1964,7,2,1302,1302,309,1,1302,6,158000
254,1957,1957,5,1,1314,1314,294,1,1314,5,145000
255,1999,1999,8,2,1005,975,429,2,2291,7,230000
256,2003,2003,7,2,864,864,673,2,1728,6,207500
257,2006,2006,8,2,1604,1604,660,2,1604,7,220000
258,2001,2001,7,2,963,963,564,2,1792,7,231500
259,1956,1956,4,1,882,0,308,1,882,5,97000
260,1962,1962,6,1,1382,1362,884,2,1382,6,176000
261,2007,2007,10,2,1482,1482,868,3,2574,8,276000
262,1995,1977,6,1,1212,506,492,2,1212,6,151000
263,2001,1929,6,1,926,926,484,2,1316,5,130000
264,2004,1925,4,1,764,680,504,2,764,5,73000
265,1981,1981,7,2,1422,1422,576,2,1422,6,175500
266,1997,1997,8,2,802,802,413,2,1511,6,185000
267,1997,1939,8,2,1052,720,240,1,2192,5,179500
268,1955,1940,4,1,778,740,924,1,778,5,120500
269,1976,1976,6,1,1113,1143,504,1,1113,6,148000
270,2006,2006,8,2,1095,1095,1053,3,1939,8,266000
271,2005,1954,5,1,1363,1385,439,2,1363,7,241500
272,2007,1999,9,2,1164,1152,671,3,2270,8,290000
273,1988,1958,6,2,1632,1240,338,1,1632,6,139000
274,1982,1982,5,1,816,816,264,1,816,5,124500
275,2007,1925,5,2,952,952,672,2,1548,7,205000
276,2003,2003,7,2,1560,1560,573,2,1560,7,201000
277,1951,1951,4,1,864,864,400,2,864,4,141000
278,2007,2006,8,2,2121,2121,732,3,2121,9,415298
279,1977,1977,8,2,1156,1160,505,2,2022,7,192000
280,1989,1989,7,2,1175,807,575,2,1982,7,228500
281,2006,2006,5,2,1262,1262,572,2,1262,6,185000
282,2008,2007,6,2,1314,1314,626,2,1314,7,207500
283,2009,2008,6,2,1468,1468,898,3,1468,8,244600
284,1992,1992,5,2,1575,1575,529,2,1575,6,179200
285,2007,2006,5,2,625,625,528,2,1250,7,164700
286,1981,1962,7,1,1085,912,440,2,1734,6,159000
287,1971,1971,5,1,858,858,0,0,858,4,88000
288,1967,1967,5,1,900,882,280,1,900,5,122000
289,2003,1915,7,1,698,698,384,1,1396,6,153575
290,2006,2006,8,2,1079,1079,685,2,1919,8,233230
291,2000,1912,9,2,936,780,0,0,1716,5,135900
292,2008,1949,8,1,1148,768,281,1,1716,5,131000
293,1994,1977,9,2,1468,795,539,2,2263,7,235000
294,1953,1953,7,1,1644,1416,418,2,1644,6,167000
295,1984,1984,6,1,1003,1003,588,2,1003,6,142500
296,1950,1950,6,1,910,910,282,1,1558,5,152000
297,1998,1997,7,2,975,975,576,2,1950,7,239000
298,1968,1968,7,1,1041,702,539,2,1743,6,175000
299,2004,1950,6,1,1152,1092,300,1,1152,6,158500
300,1953,1953,5,1,1336,1165,375,1,1336,5,157000
301,1999,1998,9,2,1210,1028,683,2,2452,8,267000
302,2002,2001,6,2,1541,1541,843,3,1541,7,205000
303,1972,1972,5,1,894,894,552,2,894,5,149900
304,2002,1880,10,3,1675,1470,870,3,3493,7,295000
305,2005,2004,8,2,2000,2000,888,3,2000,8,305900
306,1991,1990,8,2,1122,700,746,3,2243,7,225000
307,1950,1920,6,1,1035,319,0,0,1406,6,89500
308,1950,1940,4,1,861,861,539,2,861,4,82500
309,2004,2003,8,2,1944,1896,708,3,1944,9,360000
310,1994,1993,6,2,697,697,420,2,1501,6,165600
311,2002,1948,5,1,972,972,240,1,972,6,132000
312,1950,1939,5,1,793,793,410,2,1118,5,119900
313,1965,1965,8,2,2036,2136,513,2,2036,7,375000
314,1990,1925,6,1,832,728,546,2,1641,7,178000
315,2005,2004,6,2,716,716,432,2,1432,7,188500
316,1980,1980,10,2,1153,845,484,2,2353,7,260000
317,2006,2006,8,2,1088,1088,1025,3,1959,8,270000
318,1993,1993,9,2,1372,1347,656,3,2646,7,260000
319,1980,1980,6,2,1472,1372,588,2,1472,7,187500
320,2006,2006,9,3,1249,1249,840,3,2596,9,342643
321,2004,2004,10,2,1136,1136,872,3,2468,8,354000
322,1987,1986,8,2,1553,1502,576,2,2730,7,301000
323,2005,1955,6,1,1163,1162,220,1,1163,3,126175
324,2007,1967,11,2,1898,710,564,2,2978,7,242000
325,1950,1941,5,1,803,720,360,2,803,5,87000
326,1993,1993,6,1,1719,1719,473,2,1719,8,324000
327,1960,1960,7,1,1383,1383,292,1,1383,6,145250
328,1994,1916,10,2,1445,844,441,2,2134,6,214500
329,1950,1920,6,1,596,596,189,1,1192,5,78000
330,1964,1964,10,2,1728,1728,352,1,1728,5,119000
331,1992,1958,6,1,1056,1056,308,1,1056,5,139000
332,2004,2003,7,2,1629,3206,880,3,1629,8,284000
333,2004,2004,6,2,1358,1358,484,2,1358,7,207000
334,1998,1998,7,2,943,943,472,2,1638,6,192000
335,1965,1965,7,2,1619,1499,529,2,1786,5,228950
336,2006,2005,8,2,1922,1922,676,3,1922,9,377426
337,2003,2002,7,2,1536,1536,532,2,1536,7,214000
338,1998,1984,8,2,1621,1208,440,2,1621,7,202500
339,1998,1958,6,1,1215,1215,297,1,1215,6,155000
340,2002,2002,9,2,993,967,431,2,1908,8,202900
341,1950,1950,4,1,841,721,294,1,841,4,82000
342,1950,1949,6,2,1040,0,400,2,1040,3,87500
343,2005,2005,6,2,1684,1684,564,2,1684,9,266000
344,1976,1976,4,1,536,536,336,1,1112,5,85000
345,1950,1939,6,1,972,972,312,1,1577,6,140200
346,1998,1960,5,1,958,958,301,1,958,6,151500
347,1960,1960,6,2,1478,1478,498,2,1478,6,157500
348,2004,2003,6,2,764,764,474,2,1626,7,154000
349,2006,2005,10,2,1848,1848,706,3,2728,9,437154
350,2007,2007,6,2,1869,1869,617,2,1869,9,318061
351,1986,1986,6,1,1453,1453,445,2,1453,7,190000
352,1950,1941,5,1,616,616,200,1,1111,5,95000
353,2003,1928,5,1,720,624,484,2,720,6,105900
354,2000,1940,6,1,1192,940,240,1,1595,6,140000
355,1995,1995,6,2,1200,1200,521,2,1200,6,177500
356,1992,1992,6,2,1167,1158,400,2,1167,6,173000
357,1976,1976,6,1,1142,1142,528,2,1142,5,134000
358,1958,1958,6,1,1352,1062,288,1,1352,5,130000
359,1998,1998,7,2,1086,1086,592,2,1924,8,280000
360,1978,1978,5,1,912,888,470,2,912,6,156000
361,1982,1940,8,1,988,883,240,1,1505,5,145000
362,2003,2003,7,3,495,0,672,2,1922,7,198500
363,2007,1972,5,1,483,483,264,1,987,6,118000
364,1976,1976,6,2,790,796,566,2,1574,6,190000
365,1997,1920,6,1,672,672,468,1,1344,5,147000
366,1963,1963,6,1,1394,1394,514,2,1394,6,159000
367,1962,1962,6,1,1431,1099,296,1,1431,6,165000
368,1954,1954,7,1,1268,1268,244,1,1268,5,132000
369,2006,1959,7,1,1287,1063,576,2,1287,5,162000
370,2000,2000,7,2,953,953,460,2,1664,6,172400
371,1959,1959,7,2,1120,0,680,2,1588,4,134432
372,1984,1984,4,1,752,744,264,1,752,6,125000
373,1953,1953,5,1,1319,608,270,1,1319,5,123000
374,2004,2003,8,2,847,847,434,2,1928,7,219500
375,1950,1922,4,0,904,683,0,0,904,1,61000
376,1996,1996,5,1,914,870,576,2,914,5,148000
377,2005,2004,8,3,1580,1580,610,2,2466,8,340000
378,2010,2010,8,1,1856,1856,834,3,1856,9,394432
379,2000,2000,7,2,1007,982,463,2,1800,6,179000
380,1950,1924,6,2,1026,1026,308,1,1691,5,127000
381,2006,2006,5,2,1301,1293,572,2,1301,7,187750
382,2006,2006,8,2,939,939,639,2,1797,7,213500
383,1950,1928,5,1,784,784,360,2,784,6,76000
384,1992,1992,9,2,1079,1580,501,2,1953,6,240000
385,2005,2004,6,2,1269,1256,430,2,1269,8,192000
386,1996,1910,8,1,658,658,0,0,1184,5,81000
387,1976,1976,6,1,1125,1041,352,1,1125,6,125000
388,2000,1999,6,2,1479,1468,577,2,1479,7,191000
389,2008,2007,9,2,1742,1682,846,3,2332,10,426000
390,1950,1900,7,1,961,861,384,1,1367,5,119000
391,2002,2001,7,2,804,804,560,2,1961,6,215000
392,1959,1959,5,1,882,0,294,1,882,5,106500
393,1950,1941,4,1,788,788,0,0,788,4,100000
394,1950,1940,5,1,735,735,240,1,1034,5,109000
395,1956,1956,6,1,1144,1144,596,1,1144,5,129000
396,1972,1972,6,1,894,894,600,2,894,5,123000
397,1962,1962,8,2,876,864,264,1,1812,5,169500
398,1950,1920,6,1,1077,961,338,1,1077,5,67000
399,2007,2006,7,2,1112,1092,438,2,1550,7,241000
400,1996,1996,4,1,1288,1260,500,2,1288,8,245500
401,2005,2005,6,2,1310,1310,400,2,1310,7,164990
402,1997,1940,4,1,672,672,240,1,672,5,108000
403,1998,1998,10,2,1165,1141,420,2,2263,8,258000
404,1996,1995,7,2,806,806,373,2,1572,6,168000
405,1993,1976,8,2,1620,1281,490,2,1620,4,150000
406,1950,1936,6,1,1166,1064,240,1,1639,6,115000
407,1976,1915,8,2,840,840,308,1,1680,6,177000
408,2006,2006,9,2,1071,1063,947,3,2172,7,280000
409,2008,2007,8,2,1050,1034,836,3,2078,8,339750
410,1958,1958,5,1,1276,1276,350,1,1276,5,60000
411,1955,1955,5,1,1056,1056,572,2,1056,5,145000
412,2009,2009,7,2,1478,1470,484,2,1478,7,222000
413,1950,1927,5,1,1028,1008,360,2,1028,5,115000
414,1993,1993,9,2,1080,1080,678,3,2097,7,228000
415,2007,2007,6,2,1340,1340,396,2,1340,7,181134
416,1978,1978,6,1,672,672,440,2,1400,6,149500
417,1950,1918,10,2,1370,1370,864,3,2624,6,239000
418,1950,1940,7,1,756,756,240,1,1134,5,126000
419,1968,1968,6,1,1056,1056,304,1,1056,5,142000
420,1998,1997,8,2,1344,1344,784,4,1344,7,206300
421,2000,1977,8,2,1602,1602,529,2,1602,6,215000
422,1954,1954,4,1,988,988,520,2,988,5,113000
423,1998,1998,8,2,1470,1470,696,3,2630,8,315000
424,1956,1956,6,1,1196,1196,297,1,1196,6,139000
425,1992,1946,6,1,707,651,240,1,1389,7,135000
426,1989,1989,5,2,1644,1518,569,2,1644,7,275000
427,1957,1957,5,1,907,907,352,1,907,4,109008
428,2007,2007,6,2,1208,1208,628,2,1208,7,195400
429,1988,1988,6,2,1412,1392,576,2,1412,6,175000
430,1971,1971,4,1,483,483,264,1,987,6,85400
431,1998,1920,7,1,1088,901,0,0,1198,6,79900
432,1971,1971,6,1,765,765,440,2,1365,5,122500
433,1998,1997,7,2,926,926,470,2,1604,6,181000
434,1972,1972,3,1,630,630,0,0,630,4,81000
435,1996,1996,6,2,827,799,550,2,1661,7,212000
436,1950,1920,6,1,734,648,440,2,1118,6,116000
437,2004,1926,4,1,904,884,180,1,904,6,119000
438,2002,1913,4,1,694,440,352,1,694,5,90350
439,2000,1920,7,1,684,684,528,2,1196,6,110000
440,2008,2008,10,2,2402,3094,672,3,2402,10,555000
441,1955,1955,8,2,1440,1440,0,0,1440,4,118000
442,1992,1930,8,2,1128,1078,360,2,1573,5,162900
443,2007,2006,6,2,1258,1258,648,3,1258,7,172500
444,1995,1994,8,2,933,915,493,2,1908,7,210000
445,1956,1956,7,1,1689,1436,480,2,1689,6,127500
446,2002,1966,6,2,1888,1517,578,2,1888,6,190000
447,1999,1998,10,2,956,930,431,2,1886,7,199900
448,1950,1937,7,2,780,780,198,1,1376,6,119500
449,2002,1948,6,1,679,649,308,1,1183,3,120000
450,2005,1930,5,1,813,813,270,1,813,6,110000
451,1975,1975,5,2,1533,1533,576,2,1533,7,280000
452,1997,1996,7,2,888,872,422,2,1756,6,204000
453,2008,2008,6,2,786,768,676,2,1590,8,210000
454,1976,1976,8,2,1728,1728,560,2,1728,5,188000
455,1973,1973,6,1,1242,1242,528,2,1242,7,175500
456,1950,1916,7,1,624,624,513,3,1344,5,98000
457,1994,1954,6,1,1663,1364,529,2,1663,4,256000
458,1996,1925,7,1,833,588,228,1,1666,8,161000
459,1950,1950,5,1,979,709,352,1,1203,5,110000
460,2009,2009,8,2,832,832,552,2,1935,8,263435
461,2007,1936,6,1,575,560,576,2,1135,7,155000
462,1965,1965,5,1,864,864,360,1,864,5,62383
463,1995,1934,6,1,849,715,240,1,1660,6,188700
464,1978,1978,5,2,1040,1040,0,0,1040,5,124000
465,2004,2004,6,2,1414,1375,398,2,1414,7,178740
466,1970,1970,5,1,1277,1277,526,2,1277,7,167000
467,1995,1942,7,1,888,728,312,1,1644,5,146500
468,2006,2006,7,2,1634,1626,866,3,1634,8,250000
469,1993,1993,7,2,832,832,506,2,1710,6,187000
470,1985,1985,4,1,1502,1488,528,2,1502,8,212000
471,1977,1977,8,2,1161,808,534,2,1969,7,190000
472,2005,2005,5,1,1072,547,525,2,1072,6,148000
473,2007,2006,7,2,1976,1976,908,3,1976,8,440000
474,2000,2000,6,2,1652,1494,499,2,1652,8,251000
475,1963,1963,5,1,970,970,624,2,970,5,132500
476,1998,1997,7,2,1493,1478,508,2,1493,6,208900
